Ticker,Company,Sector,Industry
RUSHA,Rush Enterprises,Industrials,Construction Machinery & Heavy Transportation Equipment
RWT,"Redwood Trust, Inc.",Real Estate,Mortgage REITs
RXO,"RXO, Inc.",Industrials,Cargo Ground Transportation
SAFE,"Safehold, Inc.",Real Estate,Other Specialized REITs
SABR,Sabre,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
SAFT,"Safety Insurance Group, Inc.",Financials,Property & Casualty Insurance
SAH,"Sonic Automotive, Inc.",Consumer Discretionary,Automotive Retail
SANM,Sanmina Corporation,Information Technology,Electronic Manufacturing Services
SBCF,Seacoast Banking Corporation of Florida,Financials,Regional Banks
SBH,"Sally Beauty Holdings, Inc.",Consumer Discretionary,Specialty Stores
SBSI,"Southside Bancshares, Inc.",Financials,Regional Banks
SCHL,Scholastic Corporation,Consumer Discretionary,Publishing
SCL,Stepan Company,Materials,Specialty Chemicals
SCSC,"ScanSource, Inc.",Information Technology,Technology Distributors
SDGR,"Schrödinger, Inc.",Health Care,Health Care Services
SEDG,SolarEdge,Information Technology,Semiconductor Materials & Equipment
SEM,"Select Medical Holdings, Corp.",Health Care,Health Care Facilities
SEZL,Sezzle,Financials,Transaction & Payment Processing Services
SFBS,"ServisFirst Bancshares, Inc.",Financials,Regional Banks
SFNC,Simmons First National Corporation,Financials,Regional Banks
SHAK,"Shake Shack, Inc.",Consumer Discretionary,Restaurants
SHEN,Shenandoah Telecommunications Co,Communication Services,Wireless Telecommunication Services
SHO,"Sunstone Hotel Investors, Inc.",Real Estate,Hotel & Resort REITs
SHOO,"Steven Madden, Ltd.",Consumer Discretionary,Footwear
SIG,Signet Jewelers,Consumer Discretionary,Specialty Stores
SKT,"Tanger Factory Outlet Centers, Inc.",Real Estate,Retail REITs
SKY,"Champion Homes, Inc.",Consumer Discretionary,Homebuilding
SKYW,"SkyWest, Inc.",Industrials,Passenger Airlines
SLG,SL Green Realty,Real Estate,Office REITs
SLVM,Sylvamo Corp.,Materials,Paper Products
SM,SM Energy Company,Energy,Oil & Gas Exploration & Production
SMP,"Standard Motor Products, Inc.",Consumer Discretionary,Automotive Parts & Equipment
SMPL,Simply Good Foods Company,Consumer Staples,Packaged Foods & Meats
SMTC,Semtech Corporation,Information Technology,Semiconductors
SNCY,Sun Country Airlines,Industrials,Passenger Airlines
SNDR,Schneider National,Industrials,Cargo Ground Transportation
SNEX,StoneX Group Inc.,Financials,Investment Banking & Brokerage
SONO,"Sonos, Inc.",Consumer Discretionary,Consumer Electronics
SPHR,Sphere Entertainment,Communication Services,Movies & Entertainment
SPNT,SiriusPoint Ltd.,Financials,Reinsurance
SPSC,"SPS Commerce, Inc.",Information Technology,Application Software
SRPT,Sarepta Therapeutics,Health Care,Biotechnology
SSTK,"Shutterstock, Inc.",Communication Services,Interactive Media & Services
STAA,STAAR Surgical Company,Health Care,Health Care Equipment
STBA,"S&T Bancorp, Inc.",Financials,Regional Banks
STC,Stewart Information Services Corporation,Financials,Property & Casualty Insurance
STEL,"Stellar Bancorp, Inc.",Financials,Regional Banks
STEP,StepStone Group,Financials,Asset Management & Custody Banks
STRA,"Strategic Education, Inc.",Consumer Discretionary,Education Services
SUPN,"Supernus Pharmaceuticals, Inc.",Health Care,Pharmaceuticals
SXI,Standex International Corporation,Industrials,Industrial Machinery & Supplies & Components
SXT,Sensient Technologies,Materials,Specialty Chemicals
TALO,"Talos Energy, Inc.",Energy,Oil & Gas Exploration & Production
TBBK,"The Bancorp, Inc.",Financials,Regional Banks
TDC,Teradata,Information Technology,IT Consulting & Other Services
TDS,"Telephone and Data Systems, Inc.",Communication Services,Integrated Telecommunication Services
TDW,"Tidewater, Inc.",Energy,Oil & Gas Equipment & Services
TFIN,"Triumph Bancorp, Inc.",Financials,Regional Banks
TFX,Teleflex,Health Care,Health Care Equipment
TGTX,"TG Therapeutics, Inc.",Health Care,Biotechnology
THRM,Gentherm Incorporated,Consumer Discretionary,Automotive Parts & Equipment
TILE,"Interface, Inc.",Industrials,Office Services & Supplies
TMDX,"TransMedics Group, Inc.",Health Care,Health Care Equipment
TMP,Tompkins Financial Corporation,Financials,Regional Banks
TNC,Tennant Company,Industrials,Industrial Machinery & Supplies & Components
TNDM,Tandem Diabetes Care,Health Care,Health Care Equipment
TPH,"Tri Pointe Homes, Inc.",Consumer Discretionary,Homebuilding
TR,"Tootsie Roll Industries, Inc.",Consumer Staples,Packaged Foods & Meats
TRIP,TripAdvisor,Communication Services,Interactive Media & Services
TRMK,Trustmark Corp.,Financials,Regional Banks
TRN,"Trinity Industries, Inc.",Industrials,Construction Machinery & Heavy Transportation Equipment
TRNO,Terreno Realty Corporation,Real Estate,Industrial REITs
TRST,TrustCo Bank Corp NY,Financials,Regional Banks
TRUP,Trupanion,Financials,Life & Health Insurance
TWO,Two Harbors Investment Corp.,Financials,Mortgage REITs
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
UCB,"United Community Banks, Inc.",Financials,Regional Banks
UCTT,"Ultra Clean Holdings, Inc.",Information Technology,Semiconductor Materials & Equipment
UE,Urban Edge Properties,Real Estate,Retail REITs
UFCS,"United Fire Group, Inc.",Financials,Property & Casualty Insurance
UFPT,"UFP Technologies, Inc.",Health Care,Health Care Equipment
UHT,Universal Health Realty Income Trust,Real Estate,Health Care REITs
UNF,UniFirst Corporation,Industrials,Diversified Support Services
UNFI,United Natural Foods Inc,Consumer Staples,Food Retail
UNIT,Uniti Group,Communication Services,Alternative Carriers
UPBD,"Upbound Group, Inc.",Consumer Discretionary,Computer & Electronics Retail
UPWK,"Upwork, Inc.",Industrials,Human Resource & Employment Services
URBN,"Urban Outfitters, Inc.",Consumer Discretionary,Apparel Retail
USPH,"U.S. Physical Therapy, Inc.",Health Care,Health Care Facilities
UTL,Unitil Corporation,Utilities,Electric Utilities
UVV,Universal Corporation,Consumer Staples,Tobacco
VAC,Marriott Vacations Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
VCEL,Vericel,Health Care,Biotechnology
VCTR,"Victory Capital Holdings, Inc.",Financials,Asset Management & Custody Banks
VCYT,"Veracyte, Inc.",Health Care,Health Care Services
VECO,Veeco Instruments Inc.,Information Technology,Semiconductor Materials & Equipment
VGNT,Versigent PLC,Consumer Discretionary,Other Specialty Retail
VIAV,VIAVI Solutions,Information Technology,Communications Equipment
VIR,"Vir Biotechnology, Inc.",Health Care,Biotechnology
VIRT,"Virtu Financial, Inc.",Financials,Financial Exchanges & Data
VITL,"Vital Farms, Inc.",Consumer Staples,Agricultural Products & Services
VRE,"Veris Residential, Inc.",Real Estate,Office REITs
VRRM,Verra Mobility Corporation,Industrials,Data Processing & Outsourced Services
VRTS,"Virtus Investment Partners, Inc.",Financials,Asset Management & Custody Banks
VSAT,"Viasat, Inc.",Information Technology,Communications Equipment
VSCO,Victoria's Secret,Consumer Discretionary,Apparel Retail
VSEC,VSE Corporation,Industrials,Aerospace & Defense
VSH,Vishay Intertechnology,Information Technology,Electronic Components
VSNT,"Versant Media Group, Inc.",Communication Services,Cable & Satellite
VSTS,Vestis,Industrials,Diversified Support Services
VTOL,Bristow Group Inc.,Energy,Oil & Gas Equipment & Services
VYX,NCR Voyix,Information Technology,IT Consulting & Other Services
WABC,Westamerica Bank,Financials,Regional Banks
WAFD,"WaFd, Inc.",Financials,Regional Banks
WAY,Waystar Holding Corp,Health Care,Health Care Technology
WD,"Walker & Dunlop, Inc.",Financials,Commercial & Residential Mortgage Finance
WDFC,WD-40 Company,Consumer Staples,Household Products
WEN,The Wendy's Company,Consumer Discretionary,Restaurants
WERN,Werner Enterprises,Industrials,Cargo Ground Transportation
WGO,"Winnebago Industries, Inc.",Consumer Discretionary,Automobile Manufacturers
WHD,"Cactus, Inc.",Energy,Oil & Gas Equipment & Services
WINA,Winmark,Consumer Discretionary,Other Specialty Retail
WKC,World Kinect Corporation,Energy,Oil & Gas Refining & Marketing
WLY,John Wiley & Sons,Communication Services,Publishing
WOR,Worthington Enterprises,Industrials,Building Products
WRLD,World Acceptance Corporation,Financials,Consumer Finance
WS,Worthington Steel,Materials,Steel
WSC,WillScot Holdings Corp.,Industrials,Office Services & Supplies
WSFS,WSFS Financial Corporation,Financials,Regional Banks
WSR,Whitestone REIT,Real Estate,Retail REITs
WT,"WisdomTree Investments, Inc.",Financials,Asset Management & Custody Banks
WU,Western Union,Financials,Transaction & Payment Processing Services
WWW,"Wolverine World Wide, Inc.",Consumer Discretionary,Footwear
XHR,"Xenia Hotels & Resorts, Inc.",Real Estate,Hotel & Resort REITs
XNCR,Xencor Inc,Health Care,Biotechnology
XPEL,"XPEL, Inc.",Consumer Discretionary,Automotive Parts & Equipment
YELP,"Yelp, Inc.",Communication Services,Interactive Media & Services
YOU,"Clear Secure, Inc.",Information Technology,Application Software
ZD,Ziff Davis,Communication Services,Advertising
ZWS,Zurn Elkay Water Solutions Corp.,Industrials,Industrial Machinery & Supplies & Components
